 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6  Layer7  Layer8  Pseaudo_Eff
    883   h1 1.000000 0.666667   1.000 0.700000       1 0.700000       1       1       1     0.326667
    884   h1 0.479532 0.736842   0.625 0.647619       1 0.618182       1       1       1     0.088411
    885   h1 0.666667 1.000000   0.700 0.800000       1 0.700000       1       1       1     0.261333
    886   h1 0.666667 1.000000   0.700 0.800000       1 0.700000       1       1       1     0.261333
    887   h1 0.666667 1.000000   0.700 0.800000       1 0.700000       1       1       1     0.261333
    888   h1 0.947368 0.947368   0.700 0.952381       1 0.600000       1       1       1     0.359003
    889   h1 1.000000 1.000000   0.700 1.000000       1 0.650000       1       1       1     0.455000
    890   h1 1.000000 1.000000   0.700 1.000000       1 0.695455       1       1       1     0.486818
    891   h1 1.000000 1.000000   0.700 1.000000       1 0.600000       1       1       1     0.420000
    892   h1 0.695906 0.631579   1.000 0.761905       1 1.000000       1       1       1     0.334872
    893   h1 0.777778 0.666667   1.000 0.800000       1 1.000000       1       1       1     0.414815
    894   h1 0.777778 0.666667   1.000 0.800000       1 1.000000       1       1       1     0.414815
    895   h1 0.777778 0.666667   1.000 0.900000       1 1.000000       1       1       1     0.466667
    916   h1 0.894737 0.631579   0.900 0.661905       1 0.800000       1       1       1     0.269309
    917   h1 1.000000 0.666667   0.900 0.700000       1 0.800000       1       1       1     0.336000
    918   h1 1.000000 0.666667   0.900 0.700000       1 0.800000       1       1       1     0.336000
    919   h1 1.000000 0.666667   0.900 0.700000       1 0.800000       1       1       1     0.336000
    920   h1 1.000000 0.666667   0.810 0.500000       1 0.800000       1       1       1     0.216000
    921   h1 0.298246 0.947368   0.510 0.904762       1 1.000000       1       1       1     0.130376
    922   h1 0.631579 1.000000   0.690 1.000000       1 1.000000       1       1       1     0.435789
    923   h1 0.666667 1.000000   0.700 1.000000       1 1.000000       1       1       1     0.466667
    924   h1 0.666667 1.000000   0.700 1.000000       1 1.000000       1       1       1     0.466667
    925   h1 0.666667 1.000000   0.650 0.714286       1 1.000000       1       1       1     0.309524
    926   h1 0.894737 0.631579   1.000 0.900000       1 1.000000       1       1       1     0.508587
    927   h1 1.000000 0.666667   1.000 0.900000       1 1.000000       1       1       1     0.600000
    928   h1 1.000000 0.666667   1.000 1.000000       1 1.000000       1       1       1     0.666667
    929   h1 1.000000 0.666667   1.000 1.000000       1 1.000000       1       1       1     0.666667
    930   h1 1.000000 0.666667   0.900 0.714286       1 1.000000       1       1       1     0.428571
    931   h1 0.619883 0.736842   0.800 0.700000       1 0.700000       1       1       1     0.179048
    932   h1 0.666667 0.777778   0.800 0.700000       1 0.700000       1       1       1     0.203259
    933   h1 0.666667 0.777778   0.800 0.700000       1 0.700000       1       1       1     0.203259
    934   h1 0.666667 0.777778   0.800 0.700000       1 0.700000       1       1       1     0.203259
    935   h1 0.666667 0.777778   0.720 0.500000       1 0.700000       1       1       1     0.130667
