 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6  Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905 0.954545       1       1       1       1     0.257225
    448   h0 0.947368 0.631579   0.855 0.666667 0.668182       1       1       1       1     0.227885
    449   h0 1.000000 0.666667   0.900 0.700000 0.700000       1       1       1       1     0.294000
    450   h0 1.000000 0.666667   0.900 0.700000 0.700000       1       1       1       1     0.294000
    451   h0 1.000000 0.666667   0.900 0.700000 0.700000       1       1       1       1     0.294000
    452   h0 1.000000 0.666667   0.810 0.500000 0.700000       1       1       1       1     0.189000
    453   h0 0.210526 0.947368   0.475 0.952381 0.668182       1       1       1       1     0.060287
    454   h0 0.619883 1.000000   0.690 1.000000 0.700000       1       1       1       1     0.299404
    455   h0 0.666667 1.000000   0.700 1.000000 0.700000       1       1       1       1     0.326667
    456   h0 0.666667 1.000000   0.700 1.000000 0.700000       1       1       1       1     0.326667
    457   h0 0.666667 1.000000   0.650 0.714286 0.700000       1       1       1       1     0.216667
    458   h0 0.947368 0.736842   0.950 0.952381 0.668182       1       1       1       1     0.422010
    459   h0 1.000000 0.777778   1.000 1.000000 0.700000       1       1       1       1     0.544444
    460   h0 1.000000 0.777778   1.000 1.000000 0.700000       1       1       1       1     0.544444
    461   h0 1.000000 0.777778   1.000 1.000000 0.700000       1       1       1       1     0.544444
    462   h0 1.000000 0.777778   0.900 0.714286 0.700000       1       1       1       1     0.350000
    463   h0 0.631579 0.631579   0.760 0.666667 0.954545       1       1       1       1     0.192919
    464   h0 0.666667 0.666667   0.800 0.700000 1.000000       1       1       1       1     0.248889
    465   h0 0.666667 0.666667   0.800 0.700000 1.000000       1       1       1       1     0.248889
    466   h0 0.666667 0.666667   0.800 0.700000 1.000000       1       1       1       1     0.248889
    467   h0 0.666667 0.666667   0.720 0.500000 1.000000       1       1       1       1     0.160000
    812   h1 0.596491 0.947368   0.695 0.723810 0.954545       1       1       1       1     0.271349
    813   h1 0.666667 1.000000   0.700 0.800000 1.000000       1       1       1       1     0.373333
    814   h1 0.666667 1.000000   0.700 0.800000 1.000000       1       1       1       1     0.373333
    815   h1 0.795322 0.736842   0.950 0.642857 0.668182       1       1       1       1     0.239139
    816   h1 0.888889 0.777778   1.000 0.700000 0.700000       1       1       1       1     0.338765
    817   h1 0.888889 0.777778   1.000 0.700000 0.700000       1       1       1       1     0.338765
    818   h1 0.596491 0.947368   0.700 0.666667 0.954545       1       1       1       1     0.251725
    819   h1 0.666667 1.000000   0.700 0.700000 1.000000       1       1       1       1     0.326667
    820   h1 0.666667 1.000000   0.700 0.700000 1.000000       1       1       1       1     0.326667
    821   h1 0.894737 0.631579   0.800 0.952381 0.668182       1       1       1       1     0.287686
    822   h1 1.000000 0.666667   0.800 1.000000 0.700000       1       1       1       1     0.373333
    823   h1 1.000000 0.666667   0.800 1.000000 0.700000       1       1       1       1     0.373333
