 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    883   h1 1.000000 0.666667       1 0.700000       1       1 0.769231 0.846154       1     0.303748
    884   h1 0.479532 0.736842       1 0.647619       1       1 0.925926 0.747253       1     0.158327
    885   h1 0.666667 1.000000       1 0.800000       1       1 1.000000 0.769231       1     0.410256
    886   h1 0.666667 1.000000       1 0.800000       1       1 1.000000 0.769231       1     0.410256
    887   h1 0.666667 1.000000       1 0.800000       1       1 1.000000 0.769231       1     0.410256
    888   h1 0.947368 0.947368       1 0.952381       1       1 0.769231 0.769231       1     0.505780
    889   h1 1.000000 1.000000       1 1.000000       1       1 0.769231 0.769231       1     0.591716
    890   h1 1.000000 1.000000       1 1.000000       1       1 0.769231 0.769231       1     0.591716
    891   h1 1.000000 1.000000       1 1.000000       1       1 0.769231 0.769231       1     0.591716
    892   h1 0.695906 0.631579       1 0.761905       1       1 0.769231 0.769231       1     0.198149
    893   h1 0.777778 0.666667       1 0.800000       1       1 0.769231 0.769231       1     0.245453
    894   h1 0.777778 0.666667       1 0.800000       1       1 0.769231 0.769231       1     0.245453
    895   h1 0.777778 0.666667       1 0.900000       1       1 0.555556 0.670330       1     0.173789
    916   h1 0.894737 0.631579       1 0.661905       1       1 0.846154 0.769231       1     0.243458
    917   h1 1.000000 0.666667       1 0.700000       1       1 0.846154 0.769231       1     0.303748
    918   h1 1.000000 0.666667       1 0.700000       1       1 0.846154 0.769231       1     0.303748
    919   h1 1.000000 0.666667       1 0.700000       1       1 0.846154 0.769231       1     0.303748
    920   h1 1.000000 0.666667       1 0.500000       1       1 0.532764 0.376374       1     0.066839
    921   h1 0.298246 0.947368       1 0.904762       1       1 0.307692 0.706044       1     0.055536
    922   h1 0.631579 1.000000       1 1.000000       1       1 0.769231 0.769231       1     0.373715
    923   h1 0.666667 1.000000       1 1.000000       1       1 0.769231 0.769231       1     0.394477
    924   h1 0.666667 1.000000       1 1.000000       1       1 0.769231 0.769231       1     0.394477
    925   h1 0.666667 1.000000       1 0.714286       1       1 0.740741 0.398352       1     0.140512
    926   h1 0.894737 0.631579       1 0.900000       1       1 0.923077 0.620879       1     0.291481
    927   h1 1.000000 0.666667       1 0.900000       1       1 0.923077 0.769231       1     0.426036
    928   h1 1.000000 0.666667       1 1.000000       1       1 0.923077 0.769231       1     0.473373
    929   h1 1.000000 0.666667       1 1.000000       1       1 0.923077 0.769231       1     0.473373
    930   h1 1.000000 0.666667       1 0.714286       1       1 0.547009 0.500000       1     0.130240
    931   h1 0.619883 0.736842       1 0.700000       1       1 0.769231 0.769231       1     0.189189
    932   h1 0.666667 0.777778       1 0.700000       1       1 0.769231 0.769231       1     0.214771
    933   h1 0.666667 0.777778       1 0.700000       1       1 0.769231 0.769231       1     0.214771
    934   h1 0.666667 0.777778       1 0.700000       1       1 0.769231 0.769231       1     0.214771
    935   h1 0.666667 0.777778       1 0.500000       1       1 0.455840 0.370879       1     0.043831
