 ChipID Half  Layer0  Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0       1       1   0.665 0.761905 0.954545       1 0.740741 0.846154       1     0.303134
    409   h0       1       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    410   h0       1       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    411   h0       1       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    412   h0       1       1   1.000 0.700000 1.000000       1 0.712251 0.923077       1     0.460224
    413   h0       1       1   1.000 0.700000 1.000000       1 0.769231 0.923077       1     0.497041
    414   h0       1       1   1.000 0.700000 1.000000       1 0.769231 0.923077       1     0.497041
    415   h0       1       1   1.000 0.700000 1.000000       1 0.769231 0.923077       1     0.497041
    416   h0       1       1   0.610 0.647619 0.677273       1 0.888889 0.769231       1     0.182944
    417   h0       1       1   0.700 0.800000 0.700000       1 0.923077 0.769231       1     0.278343
    418   h0       1       1   0.700 0.800000 0.700000       1 0.923077 0.769231       1     0.278343
    419   h0       1       1   0.700 0.800000 0.700000       1 0.923077 0.769231       1     0.278343
    420   h0       1       1   0.665 0.857143 0.668182       1 0.740741 0.769231       1     0.217016
    421   h0       1       1   0.700 0.900000 0.700000       1 0.769231 0.769231       1     0.260947
    422   h0       1       1   0.700 0.900000 0.700000       1 0.769231 0.769231       1     0.260947
    423   h0       1       1   0.700 0.900000 0.700000       1 0.769231 0.769231       1     0.260947
    424   h0       1       1   0.950 0.857143 0.668182       1 0.740741 0.769231       1     0.310023
    425   h0       1       1   1.000 0.900000 0.700000       1 0.769231 0.769231       1     0.372781
    426   h0       1       1   1.000 0.900000 0.700000       1 0.769231 0.769231       1     0.372781
    427   h0       1       1   1.000 0.900000 0.700000       1 0.569801 0.675824       1     0.242604
    448   h0       1       1   0.855 0.666667 0.668182       1 0.814815 0.769231       1     0.238718
    449   h0       1       1   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.287041
    450   h0       1       1   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.287041
    451   h0       1       1   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.287041
    452   h0       1       1   0.810 0.500000 0.700000       1 0.532764 0.384615       1     0.058092
    453   h0       1       1   0.475 0.952381 0.668182       1 0.279202 0.642857       1     0.054254
    454   h0       1       1   0.690 1.000000 0.700000       1 0.769231 0.769231       1     0.285799
    455   h0       1       1   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    456   h0       1       1   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    457   h0       1       1   0.650 0.714286 0.700000       1 0.740741 0.461538       1     0.111111
    458   h0       1       1   0.950 0.952381 0.668182       1 0.923077 0.670330       1     0.374072
    459   h0       1       1   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.497041
    460   h0       1       1   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.497041
    461   h0       1       1   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.497041
    462   h0       1       1   0.900 0.714286 0.700000       1 0.581197 0.461538       1     0.120710
    463   h0       1       1   0.760 0.666667 0.954545       1 0.740741 0.769231       1     0.275576
    464   h0       1       1   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.331361
    465   h0       1       1   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.331361
    466   h0       1       1   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.331361
    467   h0       1       1   0.720 0.500000 1.000000       1 0.484330 0.384615       1     0.067061
    812   h1       1       1   0.695 0.723810 0.954545       1 0.769231 0.846154       1     0.312544
    813   h1       1       1   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.364497
    814   h1       1       1   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.364497
    815   h1       1       1   0.950 0.642857 0.668182       1 0.769231 0.769231       1     0.241460
    816   h1       1       1   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.289941
    817   h1       1       1   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.289941
    818   h1       1       1   0.700 0.666667 0.954545       1 0.769231 0.769231       1     0.263583
    819   h1       1       1   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.289941
    820   h1       1       1   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.289941
