 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    788   h1 0.761905 0.952381       1 1.000000       1 0.698182 0.785714       1       1     0.398056
    789   h1 0.800000 1.000000       1 1.000000       1 0.727273 0.785714       1       1     0.457143
    790   h1 0.800000 1.000000       1 1.000000       1 0.727273 0.785714       1       1     0.457143
    791   h1 0.800000 1.000000       1 1.000000       1 0.727273 0.785714       1       1     0.457143
    792   h1 1.000000 0.666667       1 0.909091       1 0.960000 0.785714       1       1     0.457143
    793   h1 1.000000 0.700000       1 0.909091       1 1.000000 0.785714       1       1     0.500000
    794   h1 1.000000 0.700000       1 0.818182       1 1.000000 0.785714       1       1     0.450000
    795   h1 1.000000 0.700000       1 0.818182       1 1.000000 0.785714       1       1     0.450000
    796   h1 0.647619 0.761905       1 0.727273       1 0.727273 0.785714       1       1     0.205059
    797   h1 0.700000 0.800000       1 0.727273       1 0.787879 0.785714       1       1     0.252121
    798   h1 0.700000 0.800000       1 0.727273       1 0.787879 0.785714       1       1     0.252121
    799   h1 0.700000 0.800000       1 0.727273       1 0.696970 0.785714       1       1     0.223030
