 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    920   h1 1.000000 0.666667       1 0.500000 0.700000       1       1 0.376374       1     0.087821
    921   h1 0.298246 0.947368       1 0.904762 0.763636       1       1 0.706044       1     0.137831
    922   h1 0.631579 1.000000       1 1.000000 0.800000       1       1 0.769231       1     0.388664
    923   h1 0.666667 1.000000       1 1.000000 0.800000       1       1 0.769231       1     0.410256
    924   h1 0.666667 1.000000       1 1.000000 0.800000       1       1 0.769231       1     0.410256
    925   h1 0.666667 1.000000       1 0.714286 0.800000       1       1 0.398352       1     0.151753
    926   h1 0.894737 0.631579       1 0.900000 0.668182       1       1 0.620879       1     0.210993
    927   h1 1.000000 0.666667       1 0.900000 0.700000       1       1 0.769231       1     0.323077
    928   h1 1.000000 0.666667       1 1.000000 0.700000       1       1 0.769231       1     0.358974
    929   h1 1.000000 0.666667       1 1.000000 0.700000       1       1 0.769231       1     0.358974
    930   h1 1.000000 0.666667       1 0.714286 0.700000       1       1 0.500000       1     0.166667
    931   h1 0.619883 0.736842       1 0.700000 0.954545       1       1 0.769231       1     0.234766
    932   h1 0.666667 0.777778       1 0.700000 1.000000       1       1 0.769231       1     0.279202
    933   h1 0.666667 0.777778       1 0.700000 1.000000       1       1 0.769231       1     0.279202
    934   h1 0.666667 0.777778       1 0.700000 1.000000       1       1 0.769231       1     0.279202
    935   h1 0.666667 0.777778       1 0.500000 1.000000       1       1 0.370879       1     0.096154
