 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    891   h1 1.000000 1.000000   0.700 1.000000       1       1       1 0.769231       1     0.538462
    892   h1 0.695906 0.631579   1.000 0.761905       1       1       1 0.769231       1     0.257594
    893   h1 0.777778 0.666667   1.000 0.800000       1       1       1 0.769231       1     0.319088
    894   h1 0.777778 0.666667   1.000 0.800000       1       1       1 0.769231       1     0.319088
    895   h1 0.777778 0.666667   1.000 0.900000       1       1       1 0.670330       1     0.312821
    916   h1 0.894737 0.631579   0.900 0.661905       1       1       1 0.769231       1     0.258951
    917   h1 1.000000 0.666667   0.900 0.700000       1       1       1 0.769231       1     0.323077
    918   h1 1.000000 0.666667   0.900 0.700000       1       1       1 0.769231       1     0.323077
    919   h1 1.000000 0.666667   0.900 0.700000       1       1       1 0.769231       1     0.323077
    920   h1 1.000000 0.666667   0.810 0.500000       1       1       1 0.376374       1     0.101621
    921   h1 0.298246 0.947368   0.510 0.904762       1       1       1 0.706044       1     0.092051
    922   h1 0.631579 1.000000   0.690 1.000000       1       1       1 0.769231       1     0.335223
    923   h1 0.666667 1.000000   0.700 1.000000       1       1       1 0.769231       1     0.358974
    924   h1 0.666667 1.000000   0.700 1.000000       1       1       1 0.769231       1     0.358974
    925   h1 0.666667 1.000000   0.650 0.714286       1       1       1 0.398352       1     0.123299
    926   h1 0.894737 0.631579   1.000 0.900000       1       1       1 0.620879       1     0.315771
    927   h1 1.000000 0.666667   1.000 0.900000       1       1       1 0.769231       1     0.461538
    928   h1 1.000000 0.666667   1.000 1.000000       1       1       1 0.769231       1     0.512821
    929   h1 1.000000 0.666667   1.000 1.000000       1       1       1 0.769231       1     0.512821
    930   h1 1.000000 0.666667   0.900 0.714286       1       1       1 0.500000       1     0.214286
    931   h1 0.619883 0.736842   0.800 0.700000       1       1       1 0.769231       1     0.196756
    932   h1 0.666667 0.777778   0.800 0.700000       1       1       1 0.769231       1     0.223362
    933   h1 0.666667 0.777778   0.800 0.700000       1       1       1 0.769231       1     0.223362
    934   h1 0.666667 0.777778   0.800 0.700000       1       1       1 0.769231       1     0.223362
    935   h1 0.666667 0.777778   0.720 0.500000       1       1       1 0.370879       1     0.069231
