 ChipID Half  Layer0  Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    922   h1       1       1       1 1.000000 0.800000       1 0.769231 0.769231       1     0.473373
    923   h1       1       1       1 1.000000 0.800000       1 0.769231 0.769231       1     0.473373
    924   h1       1       1       1 1.000000 0.800000       1 0.769231 0.769231       1     0.473373
    925   h1       1       1       1 0.714286 0.800000       1 0.740741 0.398352       1     0.168614
    926   h1       1       1       1 0.900000 0.668182       1 0.923077 0.620879       1     0.344653
    927   h1       1       1       1 0.900000 0.700000       1 0.923077 0.769231       1     0.447337
    928   h1       1       1       1 1.000000 0.700000       1 0.923077 0.769231       1     0.497041
    929   h1       1       1       1 1.000000 0.700000       1 0.923077 0.769231       1     0.497041
    930   h1       1       1       1 0.714286 0.700000       1 0.547009 0.500000       1     0.136752
    931   h1       1       1       1 0.700000 0.954545       1 0.769231 0.769231       1     0.395374
    932   h1       1       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    933   h1       1       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    934   h1       1       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    935   h1       1       1       1 0.500000 1.000000       1 0.455840 0.370879       1     0.084531
