 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    860   h1 0.795322 0.631579   0.665 0.952381 0.763636       1 0.846154 0.769231 0.785714     0.124240
    861   h1 0.888889 0.666667   0.700 1.000000 0.800000       1 0.846154 0.769231 0.785714     0.169713
    862   h1 0.888889 0.666667   0.700 1.000000 0.800000       1 0.846154 0.769231 0.785714     0.169713
    863   h1 0.888889 0.666667   0.700 1.000000 0.800000       1 0.846154 0.620879 0.785714     0.136983
    864   h1 0.596491 0.947368   0.855 0.666667 0.954545       1 1.000000 0.769231 0.785714     0.185830
    865   h1 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231 0.785714     0.253846
    866   h1 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231 0.785714     0.253846
    867   h1 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231 0.785714     0.253846
    868   h1 0.842105 0.573099   0.900 0.642857 0.954545       1 0.683761 0.846154 0.737327     0.113701
    869   h1 1.000000 0.777778   1.000 0.700000 1.000000       1 0.769231 0.846154 0.785714     0.278435
    870   h1 1.000000 0.777778   1.000 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.253123
    871   h1 1.000000 0.777778   1.000 0.676190 1.000000       1 0.769231 0.846154 0.767281     0.262655
    872   h1 0.596491 0.666667   0.700 0.700000 0.700000       1 0.757835 0.923077 0.778802     0.074310
    873   h1 0.666667 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077 0.785714     0.085049
    874   h1 0.666667 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077 0.785714     0.085049
    875   h1 0.666667 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077 0.785714     0.085049
    876   h1 0.695906 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000 0.760369     0.199447
    877   h1 0.777778 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000 0.785714     0.230342
    878   h1 0.777778 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000 0.785714     0.230342
    879   h1 0.777778 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000 0.785714     0.230342
    880   h1 0.894737 0.649123   1.000 0.700000 1.000000       1 0.814815 0.846154 0.744240     0.208613
    881   h1 1.000000 0.666667   1.000 0.700000 1.000000       1 0.846154 0.846154 0.785714     0.262525
    882   h1 1.000000 0.666667   1.000 0.700000 1.000000       1 0.769231 0.846154 0.785714     0.238659
    883   h1 1.000000 0.666667   1.000 0.700000 1.000000       1 0.769231 0.846154 0.767281     0.233060
    884   h1 0.479532 0.736842   0.625 0.647619 0.663636       1 0.925926 0.747253 0.702765     0.046150
    885   h1 0.666667 1.000000   0.700 0.800000 0.700000       1 1.000000 0.769231 0.785714     0.157949
    886   h1 0.666667 1.000000   0.700 0.800000 0.700000       1 1.000000 0.769231 0.785714     0.157949
    887   h1 0.666667 1.000000   0.700 0.800000 0.700000       1 1.000000 0.769231 0.785714     0.157949
    888   h1 0.947368 0.947368   0.700 0.952381 0.668182       1 0.769231 0.769231 0.785714     0.185874
    889   h1 1.000000 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231 0.788018     0.228479
    890   h1 1.000000 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231 0.788018     0.228479
    891   h1 1.000000 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231 0.785714     0.227811
    892   h1 0.695906 0.631579   1.000 0.761905 0.668182       1 0.769231 0.769231 0.857143     0.113485
    893   h1 0.777778 0.666667   1.000 0.800000 0.700000       1 0.769231 0.769231 0.857143     0.147272
    894   h1 0.777778 0.666667   1.000 0.800000 0.700000       1 0.769231 0.769231 0.790323     0.135791
    895   h1 0.777778 0.666667   1.000 0.900000 0.700000       1 0.555556 0.670330 0.714286     0.086895
    916   h1 0.894737 0.631579   0.900 0.661905 0.668182       1 0.846154 0.769231 0.785714     0.115034
    917   h1 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231 0.785714     0.150355
    918   h1 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231 0.785714     0.150355
    919   h1 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231 0.785714     0.150355
    920   h1 1.000000 0.666667   0.810 0.500000 0.700000       1 0.532764 0.376374 0.785714     0.029777
    921   h1 0.298246 0.947368   0.510 0.904762 0.763636       1 0.307692 0.706044 0.619816     0.013406
    922   h1 0.631579 1.000000   0.690 1.000000 0.800000       1 0.769231 0.769231 0.785714     0.162086
    923   h1 0.666667 1.000000   0.700 1.000000 0.800000       1 0.769231 0.769231 0.785714     0.173570
    924   h1 0.666667 1.000000   0.700 1.000000 0.800000       1 0.769231 0.769231 0.785714     0.173570
    925   h1 0.666667 1.000000   0.650 0.714286 0.800000       1 0.740741 0.398352 0.764977     0.055894
    926   h1 0.894737 0.631579   1.000 0.900000 0.668182       1 0.923077 0.620879 0.714286     0.139116
    927   h1 1.000000 0.666667   1.000 0.900000 0.700000       1 0.923077 0.769231 0.714286     0.213018
    928   h1 1.000000 0.666667   1.000 1.000000 0.700000       1 0.923077 0.769231 0.714286     0.236686
    929   h1 1.000000 0.666667   1.000 1.000000 0.700000       1 0.923077 0.769231 0.781106     0.258828
    930   h1 1.000000 0.666667   0.900 0.714286 0.700000       1 0.547009 0.500000 0.785714     0.064469
    931   h1 0.619883 0.736842   0.800 0.700000 0.954545       1 0.769231 0.769231 0.785714     0.113513
    932   h1 0.666667 0.777778   0.800 0.700000 1.000000       1 0.769231 0.769231 0.788018     0.135395
    933   h1 0.666667 0.777778   0.800 0.700000 1.000000       1 0.769231 0.769231 0.854839     0.146876
    934   h1 0.666667 0.777778   0.800 0.700000 1.000000       1 0.769231 0.769231 0.790323     0.135791
    935   h1 0.666667 0.777778   0.720 0.500000 1.000000       1 0.455840 0.370879 0.721198     0.022760
