 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    926   h1       1 0.833333       1 0.721154       1 0.769231       1 0.812500 0.823529     0.309318
    927   h1       1 0.909091       1 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    928   h1       1 0.909091       1 0.750000       1 0.769231       1 0.812500 0.823529     0.350936
    929   h1       1 0.909091       1 0.576923       1 0.769231       1 0.505357 0.823529     0.167903
    930   h1       1 0.151515       1 0.000000       1 0.569801       1 0.000000 0.108359     0.000000
    931   h1       1 0.833333       1 0.881410       1 0.692308       1 0.812500 0.823529     0.340250
    932   h1       1 0.909091       1 0.916667       1 0.754986       1 0.812500 0.825077     0.421770
    933   h1       1 0.909091       1 0.916667       1 0.723647       1 0.812500 0.823529     0.403504
    934   h1       1 0.909091       1 0.705128       1 0.589744       1 0.496429 0.235294     0.044158
    935   h1       1 0.151515       1 0.000000       1 0.341880       1 0.000000 0.000000     0.000000
