 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    921   h1       1 0.666667       1 0.733333       1 0.769231 0.866667 0.812500       1     0.264815
    922   h1       1 0.727273       1 0.750000       1 0.769231 0.866667 0.812500       1     0.295455
    923   h1       1 0.727273       1 0.750000       1 0.769231 0.866667 0.812500       1     0.295455
    924   h1       1 0.727273       1 0.576923       1 0.769231 0.637255 0.492857       1     0.101369
    925   h1       1 0.121212       1 0.000000       1 0.569801 0.000000 0.000000       1     0.000000
    926   h1       1 0.833333       1 0.721154       1 0.769231 0.800000 0.812500       1     0.300481
    927   h1       1 0.909091       1 0.750000       1 0.769231 0.800000 0.812500       1     0.340909
    928   h1       1 0.909091       1 0.750000       1 0.769231 0.800000 0.812500       1     0.340909
    929   h1       1 0.909091       1 0.576923       1 0.769231 0.564706 0.505357       1     0.115134
    930   h1       1 0.151515       1 0.000000       1 0.569801 0.000000 0.000000       1     0.000000
    931   h1       1 0.833333       1 0.881410       1 0.692308 0.800000 0.812500       1     0.330529
    932   h1       1 0.909091       1 0.916667       1 0.754986 0.800000 0.812500       1     0.408951
    933   h1       1 0.909091       1 0.916667       1 0.723647 0.800000 0.812500       1     0.391975
    934   h1       1 0.909091       1 0.705128       1 0.589744 0.564706 0.496429       1     0.105978
    935   h1       1 0.151515       1 0.000000       1 0.341880 0.000000 0.000000       1     0.000000
