 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    865   h1 0.727273       1       1 1.000000       1 0.769231 0.933333       1 0.823529     0.430001
    866   h1 0.727273       1       1 1.000000       1 0.769231 0.933333       1 0.823529     0.430001
    867   h1 0.727273       1       1 0.769231       1 0.427350 0.658824       1 0.216718     0.034135
    868   h1 0.909091       1       1 0.750000       1 0.769231 0.800000       1 0.823529     0.345537
    869   h1 0.909091       1       1 0.750000       1 0.769231 0.800000       1 0.823529     0.345537
    870   h1 0.909091       1       1 0.660256       1 0.769231 0.800000       1 0.823529     0.304191
    871   h1 0.909091       1       1 0.115385       1 0.569801 0.329412       1 0.021672     0.000427
    872   h1 0.727273       1       1 0.916667       1 0.846154 0.800000       1 0.823529     0.371644
    873   h1 0.727273       1       1 0.916667       1 0.846154 0.800000       1 0.823529     0.371644
    874   h1 0.727273       1       1 0.916667       1 0.846154 0.800000       1 0.823529     0.371644
    875   h1 0.660079       1       1 0.423077       1 0.156695 0.403922       1 0.044892     0.000793
    876   h1 0.727273       1       1 1.000000       1 1.000000 0.800000       1 0.823529     0.479144
    877   h1 0.727273       1       1 1.000000       1 1.000000 0.800000       1 0.823529     0.479144
    878   h1 0.727273       1       1 1.000000       1 1.000000 0.800000       1 0.823529     0.479144
    879   h1 0.695652       1       1 0.461538       1 0.222222 0.400000       1 0.043344     0.001237
    880   h1 1.000000       1       1 0.750000       1 0.846154 0.800000       1 0.823529     0.418100
    881   h1 1.000000       1       1 0.750000       1 0.846154 0.800000       1 0.823529     0.418100
    882   h1 1.000000       1       1 0.750000       1 0.846154 0.800000       1 0.773994     0.392951
    883   h1 0.956522       1       1 0.288462       1 0.125356 0.376471       1 0.037152     0.000484
    884   h1 0.727273       1       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    885   h1 0.727273       1       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    886   h1 0.727273       1       1 0.733974       1 0.769231 0.752941       1 0.823529     0.254610
    887   h1 0.284585       1       1 0.259615       1 0.678063 0.247059       1 0.253870     0.003142
    888   h1 0.869565       1       1 1.000000       1 0.846154 0.800000       1 0.823529     0.484753
    889   h1 0.909091       1       1 1.000000       1 0.786325 0.800000       1 0.801858     0.458560
    890   h1 1.000000       1       1 1.000000       1 0.817664 0.658824       1 0.602167     0.324385
    891   h1 1.000000       1       1 0.769231       1 0.470085 0.141176       1 0.123839     0.006322
