 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    895   h1 0.181818       1       1 0.000000       1 0.512821 0.000000 0.000000       1     0.000000
    916   h1 0.695652       1       1 0.750000       1 0.769231 0.933333 0.812500       1     0.304348
    917   h1 0.727273       1       1 0.750000       1 0.769231 0.933333 0.812500       1     0.318182
    918   h1 0.727273       1       1 0.750000       1 0.769231 0.933333 0.812500       1     0.318182
    919   h1 0.727273       1       1 0.570000       1 0.666667 0.658824 0.510714       1     0.092988
    920   h1 0.158103       1       1 0.000000       1 0.398860 0.000000 0.000000       1     0.000000
    921   h1 0.869565       1       1 0.733333       1 0.769231 0.866667 0.812500       1     0.345411
    922   h1 0.909091       1       1 0.750000       1 0.769231 0.866667 0.812500       1     0.369318
    923   h1 0.909091       1       1 0.750000       1 0.769231 0.866667 0.812500       1     0.369318
    924   h1 0.909091       1       1 0.576923       1 0.769231 0.637255 0.492857       1     0.126712
    925   h1 0.197628       1       1 0.000000       1 0.569801 0.000000 0.000000       1     0.000000
    926   h1 0.707510       1       1 0.721154       1 0.769231 0.800000 0.812500       1     0.255112
    927   h1 0.727273       1       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    928   h1 0.727273       1       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    929   h1 0.727273       1       1 0.576923       1 0.769231 0.564706 0.505357       1     0.092107
    930   h1 0.158103       1       1 0.000000       1 0.569801 0.000000 0.000000       1     0.000000
    931   h1 0.909091       1       1 0.881410       1 0.692308 0.800000 0.812500       1     0.360577
    932   h1 0.909091       1       1 0.916667       1 0.754986 0.800000 0.812500       1     0.408951
    933   h1 0.909091       1       1 0.916667       1 0.723647 0.800000 0.812500       1     0.391975
    934   h1 0.909091       1       1 0.705128       1 0.589744 0.564706 0.496429       1     0.105978
    935   h1 0.197628       1       1 0.000000       1 0.341880 0.000000 0.000000       1     0.000000
