 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    922   h1       1 0.727273       1 0.750000       1 0.769231 0.866667       1 0.823529     0.299465
    923   h1       1 0.727273       1 0.750000       1 0.769231 0.866667       1 0.823529     0.299465
    924   h1       1 0.727273       1 0.576923       1 0.769231 0.637255       1 0.823529     0.169381
    925   h1       1 0.121212       1 0.000000       1 0.569801 0.000000       1 0.108359     0.000000
    926   h1       1 0.833333       1 0.721154       1 0.769231 0.800000       1 0.823529     0.304560
    927   h1       1 0.909091       1 0.750000       1 0.769231 0.800000       1 0.823529     0.345537
    928   h1       1 0.909091       1 0.750000       1 0.769231 0.800000       1 0.823529     0.345537
    929   h1       1 0.909091       1 0.576923       1 0.769231 0.564706       1 0.823529     0.187622
    930   h1       1 0.151515       1 0.000000       1 0.569801 0.000000       1 0.108359     0.000000
    931   h1       1 0.833333       1 0.881410       1 0.692308 0.800000       1 0.823529     0.335016
    932   h1       1 0.909091       1 0.916667       1 0.754986 0.800000       1 0.825077     0.415281
    933   h1       1 0.909091       1 0.916667       1 0.723647 0.800000       1 0.823529     0.397296
    934   h1       1 0.909091       1 0.705128       1 0.589744 0.564706       1 0.235294     0.050231
    935   h1       1 0.151515       1 0.000000       1 0.341880 0.000000       1 0.000000     0.000000
