 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    871   h1 0.909091       1 0.581818       1 0.394231       1       1 0.255357 0.021672     0.001154
    872   h1 0.727273       1 0.727273       1 0.750000       1       1 0.812500 0.823529     0.265435
    873   h1 0.727273       1 0.727273       1 0.750000       1       1 0.812500 0.823529     0.265435
    874   h1 0.727273       1 0.727273       1 0.750000       1       1 0.812500 0.823529     0.265435
    875   h1 0.660079       1 0.450909       1 0.182692       1       1 0.325000 0.044892     0.000793
    876   h1 0.727273       1 0.727273       1 0.750000       1       1 0.875000 0.823529     0.285853
    877   h1 0.727273       1 0.727273       1 0.750000       1       1 0.875000 0.823529     0.285853
    878   h1 0.727273       1 0.727273       1 0.750000       1       1 0.875000 0.823529     0.285853
    879   h1 0.695652       1 0.465455       1 0.198718       1       1 0.350000 0.043344     0.000976
    880   h1 1.000000       1 1.000000       1 0.916667       1       1 0.812500 0.823529     0.613358
    881   h1 1.000000       1 1.000000       1 0.916667       1       1 0.812500 0.823529     0.613358
    882   h1 1.000000       1 1.000000       1 0.916667       1       1 0.812500 0.773994     0.576464
    883   h1 0.956522       1 0.680000       1 0.271605       1       1 0.325000 0.037152     0.002133
    884   h1 0.727273       1 0.818182       1 1.000000       1       1 0.812500 0.823529     0.398153
    885   h1 0.727273       1 0.818182       1 1.000000       1       1 0.812500 0.823529     0.398153
    886   h1 0.727273       1 0.818182       1 1.000000       1       1 0.801786 0.823529     0.392902
    887   h1 0.284585       1 0.130909       1 1.000000       1       1 0.255357 0.253870     0.002415
    888   h1 0.869565       1 0.960000       1 0.750000       1       1 0.812500 0.823529     0.418926
    889   h1 0.909091       1 1.000000       1 0.750000       1       1 0.812500 0.801858     0.444211
    890   h1 1.000000       1 1.000000       1 0.750000       1       1 0.675000 0.602167     0.304847
    891   h1 1.000000       1 0.920000       1 0.461538       1       1 0.235714 0.123839     0.012395
    892   h1 0.695652       1 0.909091       1 0.750000       1       1 0.812500 0.837461     0.322737
    893   h1 0.727273       1 0.909091       1 0.750000       1       1 0.812500 0.882353     0.355493
    894   h1 0.632411       1 0.640000       1 0.701923       1       1 0.557143 0.394737     0.062480
    895   h1 0.181818       1 0.000000       1 0.410256       1       1 0.000000 0.000000     0.000000
    916   h1 0.695652       1 0.752727       1 1.000000       1       1 0.812500 0.823529     0.350374
    917   h1 0.727273       1 0.818182       1 1.000000       1       1 0.812500 0.823529     0.398153
    918   h1 0.727273       1 0.818182       1 1.000000       1       1 0.812500 0.823529     0.398153
    919   h1 0.727273       1 0.752727       1 1.000000       1       1 0.510714 0.530960     0.148448
    920   h1 0.158103       1 0.000000       1 0.807692       1       1 0.000000 0.054180     0.000000
    921   h1 0.869565       1 0.960000       1 0.750000       1       1 0.812500 0.823529     0.418926
    922   h1 0.909091       1 1.000000       1 0.750000       1       1 0.812500 0.823529     0.456217
    923   h1 0.909091       1 1.000000       1 0.750000       1       1 0.812500 0.823529     0.456217
    924   h1 0.909091       1 0.920000       1 0.750000       1       1 0.492857 0.823529     0.254599
    925   h1 0.197628       1 0.000000       1 0.605769       1       1 0.000000 0.108359     0.000000
    926   h1 0.707510       1 0.698182       1 0.750000       1       1 0.812500 0.823529     0.247893
    927   h1 0.727273       1 0.727273       1 0.750000       1       1 0.812500 0.823529     0.265435
    928   h1 0.727273       1 0.727273       1 0.750000       1       1 0.812500 0.823529     0.265435
    929   h1 0.727273       1 0.669091       1 0.750000       1       1 0.505357 0.823529     0.151887
    930   h1 0.158103       1 0.000000       1 0.611111       1       1 0.000000 0.108359     0.000000
    931   h1 0.909091       1 0.698182       1 0.750000       1       1 0.812500 0.823529     0.318522
    932   h1 0.909091       1 0.727273       1 0.750000       1       1 0.812500 0.825077     0.332418
    933   h1 0.909091       1 0.727273       1 0.750000       1       1 0.812500 0.823529     0.331794
    934   h1 0.909091       1 0.669091       1 0.525641       1       1 0.496429 0.235294     0.037346
    935   h1 0.197628       1 0.000000       1 0.134615       1       1 0.000000 0.000000     0.000000
