 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    344   h0 0.434783       1       1 0.480000       1       1 0.000000 0.062500       1     0.000000
    404   h0 0.727273       1       1 0.833333       1       1 0.800000 0.875000       1     0.424242
    405   h0 0.727273       1       1 0.833333       1       1 0.800000 0.875000       1     0.424242
    406   h0 0.727273       1       1 0.833333       1       1 0.800000 0.875000       1     0.424242
    407   h0 0.703557       1       1 0.384615       1       1 0.405882 0.350000       1     0.038441
    408   h0 0.727273       1       1 1.000000       1       1 0.800000 0.875000       1     0.509091
    409   h0 0.727273       1       1 1.000000       1       1 0.800000 0.875000       1     0.509091
    410   h0 0.727273       1       1 1.000000       1       1 0.800000 0.875000       1     0.509091
    411   h0 0.723320       1       1 0.461538       1       1 0.423529 0.350000       1     0.049487
    412   h0 1.000000       1       1 0.750000       1       1 0.800000 0.812500       1     0.487500
    413   h0 1.000000       1       1 0.750000       1       1 0.800000 0.812500       1     0.487500
    414   h0 1.000000       1       1 0.750000       1       1 0.800000 0.812500       1     0.487500
    415   h0 1.000000       1       1 0.317308       1       1 0.358824 0.325000       1     0.037004
    416   h0 0.727273       1       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    417   h0 0.727273       1       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    418   h0 0.727273       1       1 0.730769       1       1 0.758824 0.787500       1     0.317592
    419   h0 0.316206       1       1 0.201923       1       1 0.205882 0.235714       1     0.003099
    420   h0 0.956522       1       1 0.960000       1       1 0.800000 0.812500       1     0.596870
    421   h0 1.000000       1       1 1.000000       1       1 0.800000 0.812500       1     0.650000
    422   h0 1.000000       1       1 1.000000       1       1 0.662745 0.687500       1     0.455637
    423   h0 1.000000       1       1 0.800000       1       1 0.094118 0.225000       1     0.016941
    424   h0 0.695652       1       1 0.720000       1       1 0.800000 0.812500       1     0.325565
    425   h0 0.727273       1       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    426   h0 0.632411       1       1 0.420000       1       1 0.635294 0.580357       1     0.097931
    427   h0 0.181818       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    448   h0 0.695652       1       1 0.720000       1       1 0.866667 0.812500       1     0.352696
    449   h0 0.727273       1       1 0.750000       1       1 0.866667 0.812500       1     0.384091
    450   h0 0.727273       1       1 0.750000       1       1 0.866667 0.812500       1     0.384091
    451   h0 0.727273       1       1 0.576923       1       1 0.611765 0.487500       1     0.125134
    452   h0 0.189723       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    453   h0 0.869565       1       1 0.720000       1       1 0.800000 0.812500       1     0.406957
    454   h0 0.909091       1       1 0.750000       1       1 0.800000 0.812500       1     0.443182
    455   h0 0.909091       1       1 0.750000       1       1 0.800000 0.812500       1     0.443182
    456   h0 0.909091       1       1 0.600000       1       1 0.564706 0.487500       1     0.150160
    457   h0 0.237154       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    458   h0 0.695652       1       1 0.720000       1       1 0.800000 0.812500       1     0.325565
    459   h0 0.727273       1       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    460   h0 0.727273       1       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    461   h0 0.727273       1       1 0.600000       1       1 0.564706 0.487500       1     0.120128
    462   h0 0.189723       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    463   h0 0.782609       1       1 0.800000       1       1 0.800000 0.812500       1     0.406957
    464   h0 0.818182       1       1 0.833333       1       1 0.800000 0.812500       1     0.443182
    465   h0 0.818182       1       1 0.833333       1       1 0.800000 0.812500       1     0.443182
    466   h0 0.818182       1       1 0.666667       1       1 0.564706 0.487500       1     0.150160
    467   h0 0.213439       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    812   h1 0.434783       1       1 0.400000       1       1 0.000000 0.062500       1     0.000000
    813   h1 0.363636       1       1 0.416667       1       1 0.000000 0.062500       1     0.000000
    814   h1 0.300395       1       1 0.216667       1       1 0.000000 0.042857       1     0.000000
    815   h1 0.695652       1       1 0.720000       1       1 0.733333 0.812500       1     0.298435
