 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    890   h1 1.000000       1       1 1.000000       1       1 0.658824       1 0.602167     0.396722
    891   h1 1.000000       1       1 0.769231       1       1 0.141176       1 0.123839     0.013449
    892   h1 0.695652       1       1 0.750000       1       1 0.800000       1 0.837461     0.349549
    893   h1 0.727273       1       1 0.750000       1       1 0.800000       1 0.882353     0.385027
    894   h1 0.632411       1       1 0.390000       1       1 0.611765       1 0.394737     0.059560
    895   h1 0.181818       1       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    916   h1 0.695652       1       1 0.750000       1       1 0.933333       1 0.823529     0.401023
    917   h1 0.727273       1       1 0.750000       1       1 0.933333       1 0.823529     0.419251
    918   h1 0.727273       1       1 0.750000       1       1 0.933333       1 0.823529     0.419251
    919   h1 0.727273       1       1 0.570000       1       1 0.658824       1 0.530960     0.145012
    920   h1 0.158103       1       1 0.000000       1       1 0.000000       1 0.054180     0.000000
    921   h1 0.869565       1       1 0.733333       1       1 0.866667       1 0.823529     0.455129
    922   h1 0.909091       1       1 0.750000       1       1 0.866667       1 0.823529     0.486631
    923   h1 0.909091       1       1 0.750000       1       1 0.866667       1 0.823529     0.486631
    924   h1 0.909091       1       1 0.576923       1       1 0.637255       1 0.823529     0.275244
    925   h1 0.197628       1       1 0.000000       1       1 0.000000       1 0.108359     0.000000
    926   h1 0.707510       1       1 0.721154       1       1 0.800000       1 0.823529     0.336147
    927   h1 0.727273       1       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    928   h1 0.727273       1       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    929   h1 0.727273       1       1 0.576923       1       1 0.564706       1 0.823529     0.195127
    930   h1 0.158103       1       1 0.000000       1       1 0.000000       1 0.108359     0.000000
    931   h1 0.909091       1       1 0.881410       1       1 0.800000       1 0.823529     0.527903
    932   h1 0.909091       1       1 0.916667       1       1 0.800000       1 0.825077     0.550052
    933   h1 0.909091       1       1 0.916667       1       1 0.800000       1 0.823529     0.549020
    934   h1 0.909091       1       1 0.705128       1       1 0.564706       1 0.235294     0.085174
    935   h1 0.197628       1       1 0.000000       1       1 0.000000       1 0.000000     0.000000
