 ChipID Half  Layer0   Layer1  Layer2  Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    892   h1       1 0.666667       1       1 0.750000       1 0.800000 0.812500       1     0.325000
    893   h1       1 0.727273       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    894   h1       1 0.704545       1       1 0.701923       1 0.611765 0.557143       1     0.168558
    895   h1       1 0.636364       1       1 0.410256       1 0.000000 0.000000       1     0.000000
    916   h1       1 0.916667       1       1 1.000000       1 0.933333 0.812500       1     0.695139
    917   h1       1 1.000000       1       1 1.000000       1 0.933333 0.812500       1     0.758333
    918   h1       1 1.000000       1       1 1.000000       1 0.933333 0.812500       1     0.758333
    919   h1       1 1.000000       1       1 1.000000       1 0.658824 0.510714       1     0.336471
    920   h1       1 0.166667       1       1 0.807692       1 0.000000 0.000000       1     0.000000
    921   h1       1 0.666667       1       1 0.750000       1 0.866667 0.812500       1     0.352083
    922   h1       1 0.727273       1       1 0.750000       1 0.866667 0.812500       1     0.384091
    923   h1       1 0.727273       1       1 0.750000       1 0.866667 0.812500       1     0.384091
    924   h1       1 0.727273       1       1 0.750000       1 0.637255 0.492857       1     0.171314
    925   h1       1 0.121212       1       1 0.605769       1 0.000000 0.000000       1     0.000000
    926   h1       1 0.833333       1       1 0.750000       1 0.800000 0.812500       1     0.406250
    927   h1       1 0.909091       1       1 0.750000       1 0.800000 0.812500       1     0.443182
    928   h1       1 0.909091       1       1 0.750000       1 0.800000 0.812500       1     0.443182
    929   h1       1 0.909091       1       1 0.750000       1 0.564706 0.505357       1     0.194576
    930   h1       1 0.151515       1       1 0.611111       1 0.000000 0.000000       1     0.000000
    931   h1       1 0.833333       1       1 0.750000       1 0.800000 0.812500       1     0.406250
    932   h1       1 0.909091       1       1 0.750000       1 0.800000 0.812500       1     0.443182
    933   h1       1 0.909091       1       1 0.750000       1 0.800000 0.812500       1     0.443182
    934   h1       1 0.909091       1       1 0.525641       1 0.564706 0.496429       1     0.133960
    935   h1       1 0.151515       1       1 0.134615       1 0.000000 0.000000       1     0.000000
