 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    916   h1       1 0.916667       1 0.750000       1       1 0.933333       1 0.823529     0.528431
    917   h1       1 1.000000       1 0.750000       1       1 0.933333       1 0.823529     0.576471
    918   h1       1 1.000000       1 0.750000       1       1 0.933333       1 0.823529     0.576471
    919   h1       1 1.000000       1 0.570000       1       1 0.658824       1 0.530960     0.199391
    920   h1       1 0.166667       1 0.000000       1       1 0.000000       1 0.054180     0.000000
    921   h1       1 0.666667       1 0.733333       1       1 0.866667       1 0.823529     0.348932
    922   h1       1 0.727273       1 0.750000       1       1 0.866667       1 0.823529     0.389305
    923   h1       1 0.727273       1 0.750000       1       1 0.866667       1 0.823529     0.389305
    924   h1       1 0.727273       1 0.576923       1       1 0.637255       1 0.823529     0.220195
    925   h1       1 0.121212       1 0.000000       1       1 0.000000       1 0.108359     0.000000
    926   h1       1 0.833333       1 0.721154       1       1 0.800000       1 0.823529     0.395928
    927   h1       1 0.909091       1 0.750000       1       1 0.800000       1 0.823529     0.449198
    928   h1       1 0.909091       1 0.750000       1       1 0.800000       1 0.823529     0.449198
    929   h1       1 0.909091       1 0.576923       1       1 0.564706       1 0.823529     0.243908
    930   h1       1 0.151515       1 0.000000       1       1 0.000000       1 0.108359     0.000000
    931   h1       1 0.833333       1 0.881410       1       1 0.800000       1 0.823529     0.483912
    932   h1       1 0.909091       1 0.916667       1       1 0.800000       1 0.825077     0.550052
    933   h1       1 0.909091       1 0.916667       1       1 0.800000       1 0.823529     0.549020
    934   h1       1 0.909091       1 0.705128       1       1 0.564706       1 0.235294     0.085174
    935   h1       1 0.151515       1 0.000000       1       1 0.000000       1 0.000000     0.000000
