 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    879   h1 0.695652       1 0.465455       1 0.198718       1 0.400000       1       1     0.025738
    880   h1 1.000000       1 1.000000       1 0.916667       1 0.800000       1       1     0.733333
    881   h1 1.000000       1 1.000000       1 0.916667       1 0.800000       1       1     0.733333
    882   h1 1.000000       1 1.000000       1 0.916667       1 0.800000       1       1     0.733333
    883   h1 0.956522       1 0.680000       1 0.271605       1 0.376471       1       1     0.066508
    884   h1 0.727273       1 0.818182       1 1.000000       1 0.800000       1       1     0.476033
    885   h1 0.727273       1 0.818182       1 1.000000       1 0.800000       1       1     0.476033
    886   h1 0.727273       1 0.818182       1 1.000000       1 0.752941       1       1     0.448031
    887   h1 0.284585       1 0.130909       1 1.000000       1 0.247059       1       1     0.009204
    888   h1 0.869565       1 0.960000       1 0.750000       1 0.800000       1       1     0.500870
    889   h1 0.909091       1 1.000000       1 0.750000       1 0.800000       1       1     0.545455
    890   h1 1.000000       1 1.000000       1 0.750000       1 0.658824       1       1     0.494118
    891   h1 1.000000       1 0.920000       1 0.461538       1 0.141176       1       1     0.059946
    892   h1 0.695652       1 0.909091       1 0.750000       1 0.800000       1       1     0.379447
    893   h1 0.727273       1 0.909091       1 0.750000       1 0.800000       1       1     0.396694
    894   h1 0.632411       1 0.640000       1 0.701923       1 0.611765       1       1     0.173801
    895   h1 0.181818       1 0.000000       1 0.410256       1 0.000000       1       1     0.000000
    916   h1 0.695652       1 0.752727       1 1.000000       1 0.933333       1       1     0.488727
    917   h1 0.727273       1 0.818182       1 1.000000       1 0.933333       1       1     0.555372
    918   h1 0.727273       1 0.818182       1 1.000000       1 0.933333       1       1     0.555372
    919   h1 0.727273       1 0.752727       1 1.000000       1 0.658824       1       1     0.360665
    920   h1 0.158103       1 0.000000       1 0.807692       1 0.000000       1       1     0.000000
    921   h1 0.869565       1 0.960000       1 0.750000       1 0.866667       1       1     0.542609
    922   h1 0.909091       1 1.000000       1 0.750000       1 0.866667       1       1     0.590909
    923   h1 0.909091       1 1.000000       1 0.750000       1 0.866667       1       1     0.590909
    924   h1 0.909091       1 0.920000       1 0.750000       1 0.637255       1       1     0.399733
    925   h1 0.197628       1 0.000000       1 0.605769       1 0.000000       1       1     0.000000
    926   h1 0.707510       1 0.698182       1 0.750000       1 0.800000       1       1     0.296382
    927   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1       1     0.317355
    928   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1       1     0.317355
    929   h1 0.727273       1 0.669091       1 0.750000       1 0.564706       1       1     0.206094
    930   h1 0.158103       1 0.000000       1 0.611111       1 0.000000       1       1     0.000000
    931   h1 0.909091       1 0.698182       1 0.750000       1 0.800000       1       1     0.380826
    932   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1       1     0.396694
    933   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1       1     0.396694
    934   h1 0.909091       1 0.669091       1 0.525641       1 0.564706       1       1     0.180553
    935   h1 0.197628       1 0.000000       1 0.134615       1 0.000000       1       1     0.000000
