 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    880   h1 1.000000       1 1.000000       1 0.916667       1       1 0.812500       1     0.744792
    881   h1 1.000000       1 1.000000       1 0.916667       1       1 0.812500       1     0.744792
    882   h1 1.000000       1 1.000000       1 0.916667       1       1 0.812500       1     0.744792
    883   h1 0.956522       1 0.680000       1 0.271605       1       1 0.325000       1     0.057415
    884   h1 0.727273       1 0.818182       1 1.000000       1       1 0.812500       1     0.483471
    885   h1 0.727273       1 0.818182       1 1.000000       1       1 0.812500       1     0.483471
    886   h1 0.727273       1 0.818182       1 1.000000       1       1 0.801786       1     0.477096
    887   h1 0.284585       1 0.130909       1 1.000000       1       1 0.255357       1     0.009513
    888   h1 0.869565       1 0.960000       1 0.750000       1       1 0.812500       1     0.508696
    889   h1 0.909091       1 1.000000       1 0.750000       1       1 0.812500       1     0.553977
    890   h1 1.000000       1 1.000000       1 0.750000       1       1 0.675000       1     0.506250
    891   h1 1.000000       1 0.920000       1 0.461538       1       1 0.235714       1     0.100088
    892   h1 0.695652       1 0.909091       1 0.750000       1       1 0.812500       1     0.385375
    893   h1 0.727273       1 0.909091       1 0.750000       1       1 0.812500       1     0.402893
    894   h1 0.632411       1 0.640000       1 0.701923       1       1 0.557143       1     0.158283
    895   h1 0.181818       1 0.000000       1 0.410256       1       1 0.000000       1     0.000000
    916   h1 0.695652       1 0.752727       1 1.000000       1       1 0.812500       1     0.425455
    917   h1 0.727273       1 0.818182       1 1.000000       1       1 0.812500       1     0.483471
    918   h1 0.727273       1 0.818182       1 1.000000       1       1 0.812500       1     0.483471
    919   h1 0.727273       1 0.752727       1 1.000000       1       1 0.510714       1     0.279584
    920   h1 0.158103       1 0.000000       1 0.807692       1       1 0.000000       1     0.000000
    921   h1 0.869565       1 0.960000       1 0.750000       1       1 0.812500       1     0.508696
    922   h1 0.909091       1 1.000000       1 0.750000       1       1 0.812500       1     0.553977
    923   h1 0.909091       1 1.000000       1 0.750000       1       1 0.812500       1     0.553977
    924   h1 0.909091       1 0.920000       1 0.750000       1       1 0.492857       1     0.309156
    925   h1 0.197628       1 0.000000       1 0.605769       1       1 0.000000       1     0.000000
    926   h1 0.707510       1 0.698182       1 0.750000       1       1 0.812500       1     0.301013
    927   h1 0.727273       1 0.727273       1 0.750000       1       1 0.812500       1     0.322314
    928   h1 0.727273       1 0.727273       1 0.750000       1       1 0.812500       1     0.322314
    929   h1 0.727273       1 0.669091       1 0.750000       1       1 0.505357       1     0.184434
    930   h1 0.158103       1 0.000000       1 0.611111       1       1 0.000000       1     0.000000
    931   h1 0.909091       1 0.698182       1 0.750000       1       1 0.812500       1     0.386777
    932   h1 0.909091       1 0.727273       1 0.750000       1       1 0.812500       1     0.402893
    933   h1 0.909091       1 0.727273       1 0.750000       1       1 0.812500       1     0.402893
    934   h1 0.909091       1 0.669091       1 0.525641       1       1 0.496429       1     0.158722
    935   h1 0.197628       1 0.000000       1 0.134615       1       1 0.000000       1     0.000000
