 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    876   h1 0.727273       1       1 1.000000       1 1.000000 0.800000       1       1     0.581818
    877   h1 0.727273       1       1 1.000000       1 1.000000 0.800000       1       1     0.581818
    878   h1 0.727273       1       1 1.000000       1 1.000000 0.800000       1       1     0.581818
    879   h1 0.695652       1       1 0.461538       1 0.222222 0.400000       1       1     0.028540
    880   h1 1.000000       1       1 0.750000       1 0.846154 0.800000       1       1     0.507692
    881   h1 1.000000       1       1 0.750000       1 0.846154 0.800000       1       1     0.507692
    882   h1 1.000000       1       1 0.750000       1 0.846154 0.800000       1       1     0.507692
    883   h1 0.956522       1       1 0.288462       1 0.125356 0.376471       1       1     0.013021
    884   h1 0.727273       1       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    885   h1 0.727273       1       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    886   h1 0.727273       1       1 0.733974       1 0.769231 0.752941       1       1     0.309169
    887   h1 0.284585       1       1 0.259615       1 0.678063 0.247059       1       1     0.012377
    888   h1 0.869565       1       1 1.000000       1 0.846154 0.800000       1       1     0.588629
    889   h1 0.909091       1       1 1.000000       1 0.786325 0.800000       1       1     0.571873
    890   h1 1.000000       1       1 1.000000       1 0.817664 0.658824       1       1     0.538696
    891   h1 1.000000       1       1 0.769231       1 0.470085 0.141176       1       1     0.051050
    892   h1 0.695652       1       1 0.750000       1 0.923077 0.800000       1       1     0.385284
    893   h1 0.727273       1       1 0.750000       1 0.923077 0.800000       1       1     0.402797
    894   h1 0.632411       1       1 0.390000       1 0.923077 0.611765       1       1     0.139279
    895   h1 0.181818       1       1 0.000000       1 0.512821 0.000000       1       1     0.000000
    916   h1 0.695652       1       1 0.750000       1 0.769231 0.933333       1       1     0.374582
    917   h1 0.727273       1       1 0.750000       1 0.769231 0.933333       1       1     0.391608
    918   h1 0.727273       1       1 0.750000       1 0.769231 0.933333       1       1     0.391608
    919   h1 0.727273       1       1 0.570000       1 0.666667 0.658824       1       1     0.182075
    920   h1 0.158103       1       1 0.000000       1 0.398860 0.000000       1       1     0.000000
    921   h1 0.869565       1       1 0.733333       1 0.769231 0.866667       1       1     0.425121
    922   h1 0.909091       1       1 0.750000       1 0.769231 0.866667       1       1     0.454545
    923   h1 0.909091       1       1 0.750000       1 0.769231 0.866667       1       1     0.454545
    924   h1 0.909091       1       1 0.576923       1 0.769231 0.637255       1       1     0.257096
