 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    894   h1 0.632411       1       1 0.390000       1 0.923077       1 0.557143       1     0.126844
    895   h1 0.181818       1       1 0.000000       1 0.512821       1 0.000000       1     0.000000
    916   h1 0.695652       1       1 0.750000       1 0.769231       1 0.812500       1     0.326087
    917   h1 0.727273       1       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    918   h1 0.727273       1       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    919   h1 0.727273       1       1 0.570000       1 0.666667       1 0.510714       1     0.141143
    920   h1 0.158103       1       1 0.000000       1 0.398860       1 0.000000       1     0.000000
    921   h1 0.869565       1       1 0.733333       1 0.769231       1 0.812500       1     0.398551
    922   h1 0.909091       1       1 0.750000       1 0.769231       1 0.812500       1     0.426136
    923   h1 0.909091       1       1 0.750000       1 0.769231       1 0.812500       1     0.426136
    924   h1 0.909091       1       1 0.576923       1 0.769231       1 0.492857       1     0.198840
    925   h1 0.197628       1       1 0.000000       1 0.569801       1 0.000000       1     0.000000
    926   h1 0.707510       1       1 0.721154       1 0.769231       1 0.812500       1     0.318890
    927   h1 0.727273       1       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    928   h1 0.727273       1       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    929   h1 0.727273       1       1 0.576923       1 0.769231       1 0.505357       1     0.163106
    930   h1 0.158103       1       1 0.000000       1 0.569801       1 0.000000       1     0.000000
    931   h1 0.909091       1       1 0.881410       1 0.692308       1 0.812500       1     0.450721
    932   h1 0.909091       1       1 0.916667       1 0.754986       1 0.812500       1     0.511188
    933   h1 0.909091       1       1 0.916667       1 0.723647       1 0.812500       1     0.489969
    934   h1 0.909091       1       1 0.705128       1 0.589744       1 0.496429       1     0.187670
    935   h1 0.197628       1       1 0.000000       1 0.341880       1 0.000000       1     0.000000
