 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    888   h1 0.869565       1 0.960000       1 0.750000       1       1       1 0.823529     0.515601
    889   h1 0.909091       1 1.000000       1 0.750000       1       1       1 0.801858     0.546721
    890   h1 1.000000       1 1.000000       1 0.750000       1       1       1 0.602167     0.451625
    891   h1 1.000000       1 0.920000       1 0.461538       1       1       1 0.123839     0.052584
    892   h1 0.695652       1 0.909091       1 0.750000       1       1       1 0.837461     0.397215
    893   h1 0.727273       1 0.909091       1 0.750000       1       1       1 0.882353     0.437530
    894   h1 0.632411       1 0.640000       1 0.701923       1       1       1 0.394737     0.112144
    895   h1 0.181818       1 0.000000       1 0.410256       1       1       1 0.000000     0.000000
    916   h1 0.695652       1 0.752727       1 1.000000       1       1       1 0.823529     0.431230
    917   h1 0.727273       1 0.818182       1 1.000000       1       1       1 0.823529     0.490034
    918   h1 0.727273       1 0.818182       1 1.000000       1       1       1 0.823529     0.490034
    919   h1 0.727273       1 0.752727       1 1.000000       1       1       1 0.530960     0.290668
    920   h1 0.158103       1 0.000000       1 0.807692       1       1       1 0.054180     0.000000
    921   h1 0.869565       1 0.960000       1 0.750000       1       1       1 0.823529     0.515601
    922   h1 0.909091       1 1.000000       1 0.750000       1       1       1 0.823529     0.561497
    923   h1 0.909091       1 1.000000       1 0.750000       1       1       1 0.823529     0.561497
    924   h1 0.909091       1 0.920000       1 0.750000       1       1       1 0.823529     0.516578
    925   h1 0.197628       1 0.000000       1 0.605769       1       1       1 0.108359     0.000000
    926   h1 0.707510       1 0.698182       1 0.750000       1       1       1 0.823529     0.305099
    927   h1 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    928   h1 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    929   h1 0.727273       1 0.669091       1 0.750000       1       1       1 0.823529     0.300554
    930   h1 0.158103       1 0.000000       1 0.611111       1       1       1 0.108359     0.000000
    931   h1 0.909091       1 0.698182       1 0.750000       1       1       1 0.823529     0.392027
    932   h1 0.909091       1 0.727273       1 0.750000       1       1       1 0.825077     0.409129
    933   h1 0.909091       1 0.727273       1 0.750000       1       1       1 0.823529     0.408362
    934   h1 0.909091       1 0.669091       1 0.525641       1       1       1 0.235294     0.075230
    935   h1 0.197628       1 0.000000       1 0.134615       1       1       1 0.000000     0.000000
