 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    892   h1       1 0.666667       1 0.750000       1 0.923077       1       1 0.837461     0.386521
    893   h1       1 0.727273       1 0.750000       1 0.923077       1       1 0.882353     0.444262
    894   h1       1 0.704545       1 0.390000       1 0.923077       1       1 0.394737     0.100120
    895   h1       1 0.636364       1 0.000000       1 0.512821       1       1 0.000000     0.000000
    916   h1       1 0.916667       1 0.750000       1 0.769231       1       1 0.823529     0.435520
    917   h1       1 1.000000       1 0.750000       1 0.769231       1       1 0.823529     0.475113
    918   h1       1 1.000000       1 0.750000       1 0.769231       1       1 0.823529     0.475113
    919   h1       1 1.000000       1 0.570000       1 0.666667       1       1 0.530960     0.201765
    920   h1       1 0.166667       1 0.000000       1 0.398860       1       1 0.054180     0.000000
    921   h1       1 0.666667       1 0.733333       1 0.769231       1       1 0.823529     0.309703
    922   h1       1 0.727273       1 0.750000       1 0.769231       1       1 0.823529     0.345537
    923   h1       1 0.727273       1 0.750000       1 0.769231       1       1 0.823529     0.345537
    924   h1       1 0.727273       1 0.576923       1 0.769231       1       1 0.823529     0.265798
    925   h1       1 0.121212       1 0.000000       1 0.569801       1       1 0.108359     0.000000
    926   h1       1 0.833333       1 0.721154       1 0.769231       1       1 0.823529     0.380700
    927   h1       1 0.909091       1 0.750000       1 0.769231       1       1 0.823529     0.431921
    928   h1       1 0.909091       1 0.750000       1 0.769231       1       1 0.823529     0.431921
    929   h1       1 0.909091       1 0.576923       1 0.769231       1       1 0.823529     0.332247
    930   h1       1 0.151515       1 0.000000       1 0.569801       1       1 0.108359     0.000000
    931   h1       1 0.833333       1 0.881410       1 0.692308       1       1 0.823529     0.418770
    932   h1       1 0.909091       1 0.916667       1 0.754986       1       1 0.825077     0.519101
    933   h1       1 0.909091       1 0.916667       1 0.723647       1       1 0.823529     0.496620
    934   h1       1 0.909091       1 0.705128       1 0.589744       1       1 0.235294     0.088951
    935   h1       1 0.151515       1 0.000000       1 0.341880       1       1 0.000000     0.000000
