 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    812   h1 0.596491 0.947368   0.695 0.723810 0.954545       1 0.769231 0.846154       1     0.176618
    813   h1 0.666667 1.000000   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.242998
    814   h1 0.666667 1.000000   0.700 0.800000 1.000000       1 0.769231 0.846154       1     0.242998
    815   h1 0.795322 0.736842   0.950 0.642857 0.668182       1 0.769231 0.769231       1     0.141502
    816   h1 0.888889 0.777778   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.200453
    817   h1 0.888889 0.777778   1.000 0.700000 0.700000       1 0.769231 0.769231       1     0.200453
    818   h1 0.596491 0.947368   0.700 0.666667 0.954545       1 0.769231 0.769231       1     0.148950
    819   h1 0.666667 1.000000   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.193294
    820   h1 0.666667 1.000000   0.700 0.700000 1.000000       1 0.769231 0.769231       1     0.193294
    821   h1 0.894737 0.631579   0.800 0.952381 0.668182       1 0.769231 0.923077       1     0.204274
    822   h1 1.000000 0.666667   0.800 1.000000 0.700000       1 0.769231 0.923077       1     0.265089
    823   h1 1.000000 0.666667   0.800 1.000000 0.700000       1 0.769231 0.923077       1     0.265089
    860   h1 0.795322 0.631579   0.665 0.952381 0.763636       1 0.846154 0.769231       1     0.158123
    861   h1 0.888889 0.666667   0.700 1.000000 0.800000       1 0.846154 0.769231       1     0.215998
    862   h1 0.888889 0.666667   0.700 1.000000 0.800000       1 0.846154 0.769231       1     0.215998
    863   h1 0.888889 0.666667   0.700 1.000000 0.800000       1 0.846154 0.620879       1     0.174341
    864   h1 0.596491 0.947368   0.855 0.666667 0.954545       1 1.000000 0.769231       1     0.236511
    865   h1 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.323077
    866   h1 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.323077
    867   h1 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.323077
    868   h1 0.842105 0.573099   0.900 0.642857 0.954545       1 0.683761 0.846154       1     0.154207
    869   h1 1.000000 0.777778   1.000 0.700000 1.000000       1 0.769231 0.846154       1     0.354372
    870   h1 1.000000 0.777778   1.000 0.700000 1.000000       1 0.769231 0.769231       1     0.322156
