 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    877   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.875000 0.823529     0.228683
    878   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.875000 0.823529     0.228683
    879   h1 0.695652       1 0.465455       1 0.198718       1 0.400000 0.350000 0.043344     0.000390
    880   h1 1.000000       1 1.000000       1 0.916667       1 0.800000 0.812500 0.823529     0.490686
    881   h1 1.000000       1 1.000000       1 0.916667       1 0.800000 0.812500 0.823529     0.490686
    882   h1 1.000000       1 1.000000       1 0.916667       1 0.800000 0.812500 0.773994     0.461171
    883   h1 0.956522       1 0.680000       1 0.271605       1 0.376471 0.325000 0.037152     0.000803
    884   h1 0.727273       1 0.818182       1 1.000000       1 0.800000 0.812500 0.823529     0.318522
    885   h1 0.727273       1 0.818182       1 1.000000       1 0.800000 0.812500 0.823529     0.318522
    886   h1 0.727273       1 0.818182       1 1.000000       1 0.752941 0.801786 0.823529     0.295832
    887   h1 0.284585       1 0.130909       1 1.000000       1 0.247059 0.255357 0.253870     0.000597
    888   h1 0.869565       1 0.960000       1 0.750000       1 0.800000 0.812500 0.823529     0.335141
    889   h1 0.909091       1 1.000000       1 0.750000       1 0.800000 0.812500 0.801858     0.355369
    890   h1 1.000000       1 1.000000       1 0.750000       1 0.658824 0.675000 0.602167     0.200840
    891   h1 1.000000       1 0.920000       1 0.461538       1 0.141176 0.235714 0.123839     0.001750
    892   h1 0.695652       1 0.909091       1 0.750000       1 0.800000 0.812500 0.837461     0.258190
    893   h1 0.727273       1 0.909091       1 0.750000       1 0.800000 0.812500 0.882353     0.284395
    894   h1 0.632411       1 0.640000       1 0.701923       1 0.611765 0.557143 0.394737     0.038223
    895   h1 0.181818       1 0.000000       1 0.410256       1 0.000000 0.000000 0.000000     0.000000
    916   h1 0.695652       1 0.752727       1 1.000000       1 0.933333 0.812500 0.823529     0.327016
    917   h1 0.727273       1 0.818182       1 1.000000       1 0.933333 0.812500 0.823529     0.371609
    918   h1 0.727273       1 0.818182       1 1.000000       1 0.933333 0.812500 0.823529     0.371609
    919   h1 0.727273       1 0.752727       1 1.000000       1 0.658824 0.510714 0.530960     0.097801
    920   h1 0.158103       1 0.000000       1 0.807692       1 0.000000 0.000000 0.054180     0.000000
    921   h1 0.869565       1 0.960000       1 0.750000       1 0.866667 0.812500 0.823529     0.363069
    922   h1 0.909091       1 1.000000       1 0.750000       1 0.866667 0.812500 0.823529     0.395388
    923   h1 0.909091       1 1.000000       1 0.750000       1 0.866667 0.812500 0.823529     0.395388
    924   h1 0.909091       1 0.920000       1 0.750000       1 0.637255 0.492857 0.823529     0.162244
    925   h1 0.197628       1 0.000000       1 0.605769       1 0.000000 0.000000 0.108359     0.000000
    926   h1 0.707510       1 0.698182       1 0.750000       1 0.800000 0.812500 0.823529     0.198315
    927   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.812500 0.823529     0.212348
    928   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.812500 0.823529     0.212348
    929   h1 0.727273       1 0.669091       1 0.750000       1 0.564706 0.505357 0.823529     0.085772
    930   h1 0.158103       1 0.000000       1 0.611111       1 0.000000 0.000000 0.108359     0.000000
    931   h1 0.909091       1 0.698182       1 0.750000       1 0.800000 0.812500 0.823529     0.254818
    932   h1 0.909091       1 0.727273       1 0.750000       1 0.800000 0.812500 0.825077     0.265934
    933   h1 0.909091       1 0.727273       1 0.750000       1 0.800000 0.812500 0.823529     0.265435
    934   h1 0.909091       1 0.669091       1 0.525641       1 0.564706 0.496429 0.235294     0.021090
    935   h1 0.197628       1 0.000000       1 0.134615       1 0.000000 0.000000 0.000000     0.000000
