 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    466   h0 0.666667 0.666667   0.800 0.700000       1       1 0.769231 0.769231       1     0.147272
    467   h0 0.666667 0.666667   0.720 0.500000       1       1 0.484330 0.384615       1     0.029805
    812   h1 0.596491 0.947368   0.695 0.723810       1       1 0.769231 0.846154       1     0.185028
    813   h1 0.666667 1.000000   0.700 0.800000       1       1 0.769231 0.846154       1     0.242998
    814   h1 0.666667 1.000000   0.700 0.800000       1       1 0.769231 0.846154       1     0.242998
    815   h1 0.795322 0.736842   0.950 0.642857       1       1 0.769231 0.769231       1     0.211772
    816   h1 0.888889 0.777778   1.000 0.700000       1       1 0.769231 0.769231       1     0.286361
    817   h1 0.888889 0.777778   1.000 0.700000       1       1 0.769231 0.769231       1     0.286361
    818   h1 0.596491 0.947368   0.700 0.666667       1       1 0.769231 0.769231       1     0.156043
    819   h1 0.666667 1.000000   0.700 0.700000       1       1 0.769231 0.769231       1     0.193294
    820   h1 0.666667 1.000000   0.700 0.700000       1       1 0.769231 0.769231       1     0.193294
    821   h1 0.894737 0.631579   0.800 0.952381       1       1 0.769231 0.923077       1     0.305716
    822   h1 1.000000 0.666667   0.800 1.000000       1       1 0.769231 0.923077       1     0.378698
    823   h1 1.000000 0.666667   0.800 1.000000       1       1 0.769231 0.923077       1     0.378698
    860   h1 0.795322 0.631579   0.665 0.952381       1       1 0.846154 0.769231       1     0.207066
    861   h1 0.888889 0.666667   0.700 1.000000       1       1 0.846154 0.769231       1     0.269998
    862   h1 0.888889 0.666667   0.700 1.000000       1       1 0.846154 0.769231       1     0.269998
    863   h1 0.888889 0.666667   0.700 1.000000       1       1 0.846154 0.620879       1     0.217927
    864   h1 0.596491 0.947368   0.855 0.666667       1       1 1.000000 0.769231       1     0.247773
    865   h1 0.666667 1.000000   0.900 0.700000       1       1 1.000000 0.769231       1     0.323077
    866   h1 0.666667 1.000000   0.900 0.700000       1       1 1.000000 0.769231       1     0.323077
    867   h1 0.666667 1.000000   0.900 0.700000       1       1 1.000000 0.769231       1     0.323077
    868   h1 0.842105 0.573099   0.900 0.642857       1       1 0.683761 0.846154       1     0.161550
    869   h1 1.000000 0.777778   1.000 0.700000       1       1 0.769231 0.846154       1     0.354372
    870   h1 1.000000 0.777778   1.000 0.700000       1       1 0.769231 0.769231       1     0.322156
    871   h1 1.000000 0.777778   1.000 0.676190       1       1 0.769231 0.846154       1     0.342319
    872   h1 0.596491 0.666667   0.700 0.700000       1       1 0.757835 0.923077       1     0.136308
    873   h1 0.666667 0.666667   0.700 0.700000       1       1 0.769231 0.923077       1     0.154635
    874   h1 0.666667 0.666667   0.700 0.700000       1       1 0.769231 0.923077       1     0.154635
    875   h1 0.666667 0.666667   0.700 0.700000       1       1 0.769231 0.923077       1     0.154635
    876   h1 0.695906 1.000000   0.700 1.000000       1       1 0.769231 1.000000       1     0.374719
    877   h1 0.777778 1.000000   0.700 1.000000       1       1 0.769231 1.000000       1     0.418803
    878   h1 0.777778 1.000000   0.700 1.000000       1       1 0.769231 1.000000       1     0.418803
    879   h1 0.777778 1.000000   0.700 1.000000       1       1 0.769231 1.000000       1     0.418803
    880   h1 0.894737 0.649123   1.000 0.700000       1       1 0.814815 0.846154       1     0.280303
    881   h1 1.000000 0.666667   1.000 0.700000       1       1 0.846154 0.846154       1     0.334122
    882   h1 1.000000 0.666667   1.000 0.700000       1       1 0.769231 0.846154       1     0.303748
    883   h1 1.000000 0.666667   1.000 0.700000       1       1 0.769231 0.846154       1     0.303748
    884   h1 0.479532 0.736842   0.625 0.647619       1       1 0.925926 0.747253       1     0.098955
    885   h1 0.666667 1.000000   0.700 0.800000       1       1 1.000000 0.769231       1     0.287179
    886   h1 0.666667 1.000000   0.700 0.800000       1       1 1.000000 0.769231       1     0.287179
    887   h1 0.666667 1.000000   0.700 0.800000       1       1 1.000000 0.769231       1     0.287179
    888   h1 0.947368 0.947368   0.700 0.952381       1       1 0.769231 0.769231       1     0.354046
    889   h1 1.000000 1.000000   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    890   h1 1.000000 1.000000   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    891   h1 1.000000 1.000000   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    892   h1 0.695906 0.631579   1.000 0.761905       1       1 0.769231 0.769231       1     0.198149
