 ChipID Half   Layer0  Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    886   h1 0.666667       1   0.700 0.800000 0.700000       1 1.000000 0.769231       1     0.201026
    887   h1 0.666667       1   0.700 0.800000 0.700000       1 1.000000 0.769231       1     0.201026
    888   h1 0.947368       1   0.700 0.952381 0.668182       1 0.769231 0.769231       1     0.249710
    889   h1 1.000000       1   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    890   h1 1.000000       1   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    891   h1 1.000000       1   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    892   h1 0.695906       1   1.000 0.761905 0.668182       1 0.769231 0.769231       1     0.209633
    893   h1 0.777778       1   1.000 0.800000 0.700000       1 0.769231 0.769231       1     0.257725
    894   h1 0.777778       1   1.000 0.800000 0.700000       1 0.769231 0.769231       1     0.257725
    895   h1 0.777778       1   1.000 0.900000 0.700000       1 0.555556 0.670330       1     0.182479
    916   h1 0.894737       1   0.900 0.661905 0.668182       1 0.846154 0.769231       1     0.231811
    917   h1 1.000000       1   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.287041
    918   h1 1.000000       1   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.287041
    919   h1 1.000000       1   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.287041
    920   h1 1.000000       1   0.810 0.500000 0.700000       1 0.532764 0.376374       1     0.056847
    921   h1 0.298246       1   0.510 0.904762 0.763636       1 0.307692 0.706044       1     0.022830
    922   h1 0.631579       1   0.690 1.000000 0.800000       1 0.769231 0.769231       1     0.206291
    923   h1 0.666667       1   0.700 1.000000 0.800000       1 0.769231 0.769231       1     0.220907
    924   h1 0.666667       1   0.700 1.000000 0.800000       1 0.769231 0.769231       1     0.220907
    925   h1 0.666667       1   0.650 0.714286 0.800000       1 0.740741 0.398352       1     0.073066
    926   h1 0.894737       1   1.000 0.900000 0.668182       1 0.923077 0.620879       1     0.308374
    927   h1 1.000000       1   1.000 0.900000 0.700000       1 0.923077 0.769231       1     0.447337
    928   h1 1.000000       1   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.497041
    929   h1 1.000000       1   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.497041
    930   h1 1.000000       1   0.900 0.714286 0.700000       1 0.547009 0.500000       1     0.123077
    931   h1 0.619883       1   0.800 0.700000 0.954545       1 0.769231 0.769231       1     0.196068
    932   h1 0.666667       1   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.220907
    933   h1 0.666667       1   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.220907
    934   h1 0.666667       1   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.220907
    935   h1 0.666667       1   0.720 0.500000 1.000000       1 0.455840 0.370879       1     0.040575
