 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    886   h1 0.666667 1.000000   0.700 0.800000       1 0.700000       1       1 0.785714     0.205333
    887   h1 0.666667 1.000000   0.700 0.800000       1 0.700000       1       1 0.785714     0.205333
    888   h1 0.947368 0.947368   0.700 0.952381       1 0.600000       1       1 0.785714     0.282074
    889   h1 1.000000 1.000000   0.700 1.000000       1 0.650000       1       1 0.788018     0.358548
    890   h1 1.000000 1.000000   0.700 1.000000       1 0.695455       1       1 0.788018     0.383622
    891   h1 1.000000 1.000000   0.700 1.000000       1 0.600000       1       1 0.785714     0.330000
    892   h1 0.695906 0.631579   1.000 0.761905       1 1.000000       1       1 0.857143     0.287033
    893   h1 0.777778 0.666667   1.000 0.800000       1 1.000000       1       1 0.857143     0.355556
    894   h1 0.777778 0.666667   1.000 0.800000       1 1.000000       1       1 0.790323     0.327838
    895   h1 0.777778 0.666667   1.000 0.900000       1 1.000000       1       1 0.714286     0.333333
    916   h1 0.894737 0.631579   0.900 0.661905       1 0.800000       1       1 0.785714     0.211600
    917   h1 1.000000 0.666667   0.900 0.700000       1 0.800000       1       1 0.785714     0.264000
    918   h1 1.000000 0.666667   0.900 0.700000       1 0.800000       1       1 0.785714     0.264000
    919   h1 1.000000 0.666667   0.900 0.700000       1 0.800000       1       1 0.785714     0.264000
    920   h1 1.000000 0.666667   0.810 0.500000       1 0.800000       1       1 0.785714     0.169714
    921   h1 0.298246 0.947368   0.510 0.904762       1 1.000000       1       1 0.619816     0.080809
    922   h1 0.631579 1.000000   0.690 1.000000       1 1.000000       1       1 0.785714     0.342406
    923   h1 0.666667 1.000000   0.700 1.000000       1 1.000000       1       1 0.785714     0.366667
    924   h1 0.666667 1.000000   0.700 1.000000       1 1.000000       1       1 0.785714     0.366667
    925   h1 0.666667 1.000000   0.650 0.714286       1 1.000000       1       1 0.764977     0.236779
    926   h1 0.894737 0.631579   1.000 0.900000       1 1.000000       1       1 0.714286     0.363277
    927   h1 1.000000 0.666667   1.000 0.900000       1 1.000000       1       1 0.714286     0.428571
    928   h1 1.000000 0.666667   1.000 1.000000       1 1.000000       1       1 0.714286     0.476190
    929   h1 1.000000 0.666667   1.000 1.000000       1 1.000000       1       1 0.781106     0.520737
    930   h1 1.000000 0.666667   0.900 0.714286       1 1.000000       1       1 0.785714     0.336735
    931   h1 0.619883 0.736842   0.800 0.700000       1 0.700000       1       1 0.785714     0.140681
    932   h1 0.666667 0.777778   0.800 0.700000       1 0.700000       1       1 0.788018     0.160172
    933   h1 0.666667 0.777778   0.800 0.700000       1 0.700000       1       1 0.854839     0.173754
    934   h1 0.666667 0.777778   0.800 0.700000       1 0.700000       1       1 0.790323     0.160640
    935   h1 0.666667 0.777778   0.720 0.500000       1 0.700000       1       1 0.721198     0.094237
