 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    884   h1 0.479532 0.736842       1 0.647619 0.663636       1 0.925926 0.747253       1     0.105072
    885   h1 0.666667 1.000000       1 0.800000 0.700000       1 1.000000 0.769231       1     0.287179
    886   h1 0.666667 1.000000       1 0.800000 0.700000       1 1.000000 0.769231       1     0.287179
    887   h1 0.666667 1.000000       1 0.800000 0.700000       1 1.000000 0.769231       1     0.287179
    888   h1 0.947368 0.947368       1 0.952381 0.668182       1 0.769231 0.769231       1     0.337953
    889   h1 1.000000 1.000000       1 1.000000 0.700000       1 0.769231 0.769231       1     0.414201
    890   h1 1.000000 1.000000       1 1.000000 0.700000       1 0.769231 0.769231       1     0.414201
    891   h1 1.000000 1.000000       1 1.000000 0.700000       1 0.769231 0.769231       1     0.414201
    892   h1 0.695906 0.631579       1 0.761905 0.668182       1 0.769231 0.769231       1     0.132400
    893   h1 0.777778 0.666667       1 0.800000 0.700000       1 0.769231 0.769231       1     0.171817
    894   h1 0.777778 0.666667       1 0.800000 0.700000       1 0.769231 0.769231       1     0.171817
    895   h1 0.777778 0.666667       1 0.900000 0.700000       1 0.555556 0.670330       1     0.121652
    916   h1 0.894737 0.631579       1 0.661905 0.668182       1 0.846154 0.769231       1     0.162674
    917   h1 1.000000 0.666667       1 0.700000 0.700000       1 0.846154 0.769231       1     0.212623
    918   h1 1.000000 0.666667       1 0.700000 0.700000       1 0.846154 0.769231       1     0.212623
    919   h1 1.000000 0.666667       1 0.700000 0.700000       1 0.846154 0.769231       1     0.212623
    920   h1 1.000000 0.666667       1 0.500000 0.700000       1 0.532764 0.376374       1     0.046788
    921   h1 0.298246 0.947368       1 0.904762 0.763636       1 0.307692 0.706044       1     0.042409
    922   h1 0.631579 1.000000       1 1.000000 0.800000       1 0.769231 0.769231       1     0.298972
    923   h1 0.666667 1.000000       1 1.000000 0.800000       1 0.769231 0.769231       1     0.315582
    924   h1 0.666667 1.000000       1 1.000000 0.800000       1 0.769231 0.769231       1     0.315582
    925   h1 0.666667 1.000000       1 0.714286 0.800000       1 0.740741 0.398352       1     0.112410
    926   h1 0.894737 0.631579       1 0.900000 0.668182       1 0.923077 0.620879       1     0.194762
    927   h1 1.000000 0.666667       1 0.900000 0.700000       1 0.923077 0.769231       1     0.298225
    928   h1 1.000000 0.666667       1 1.000000 0.700000       1 0.923077 0.769231       1     0.331361
    929   h1 1.000000 0.666667       1 1.000000 0.700000       1 0.923077 0.769231       1     0.331361
    930   h1 1.000000 0.666667       1 0.714286 0.700000       1 0.547009 0.500000       1     0.091168
    931   h1 0.619883 0.736842       1 0.700000 0.954545       1 0.769231 0.769231       1     0.180589
    932   h1 0.666667 0.777778       1 0.700000 1.000000       1 0.769231 0.769231       1     0.214771
    933   h1 0.666667 0.777778       1 0.700000 1.000000       1 0.769231 0.769231       1     0.214771
    934   h1 0.666667 0.777778       1 0.700000 1.000000       1 0.769231 0.769231       1     0.214771
    935   h1 0.666667 0.777778       1 0.500000 1.000000       1 0.455840 0.370879       1     0.043831
