 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905       1 0.668182 0.740741       1       1     0.133376
    460   h0 1.000000 0.777778   1.000 1.000000       1 1.000000 0.923077       1       1     0.717949
    461   h0 1.000000 0.777778   1.000 1.000000       1 1.000000 0.923077       1       1     0.717949
    462   h0 1.000000 0.777778   0.900 0.714286       1 1.000000 0.581197       1       1     0.290598
    463   h0 0.631579 0.631579   0.760 0.666667       1 0.668182 0.740741       1       1     0.100032
    464   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231       1       1     0.134017
    465   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231       1       1     0.134017
    466   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231       1       1     0.134017
    467   h0 0.666667 0.666667   0.720 0.500000       1 0.700000 0.484330       1       1     0.054245
    812   h1 0.596491 0.947368   0.695 0.723810       1 0.800000 0.769231       1       1     0.174936
    813   h1 0.666667 1.000000   0.700 0.800000       1 0.750000 0.769231       1       1     0.215385
    814   h1 0.666667 1.000000   0.700 0.800000       1 0.686364 0.769231       1       1     0.197110
    815   h1 0.795322 0.736842   0.950 0.642857       1 0.900000 0.769231       1       1     0.247773
    816   h1 0.888889 0.777778   1.000 0.700000       1 0.900000 0.769231       1       1     0.335043
    817   h1 0.888889 0.777778   1.000 0.700000       1 0.900000 0.769231       1       1     0.335043
    818   h1 0.596491 0.947368   0.700 0.666667       1 0.800000 0.769231       1       1     0.162284
    819   h1 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231       1       1     0.201026
    820   h1 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231       1       1     0.201026
    821   h1 0.894737 0.631579   0.800 0.952381       1 0.700000 0.769231       1       1     0.231835
    822   h1 1.000000 0.666667   0.800 1.000000       1 0.650000 0.769231       1       1     0.266667
    823   h1 1.000000 0.666667   0.800 1.000000       1 0.595455 0.769231       1       1     0.244289
    860   h1 0.795322 0.631579   0.665 0.952381       1 1.000000 0.846154       1       1     0.269186
    861   h1 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154       1       1     0.350997
    862   h1 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154       1       1     0.350997
