 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    882   h1 1.000000 0.666667       1 0.700000 1.000000       1 0.769231       1 0.785714     0.282051
    883   h1 1.000000 0.666667       1 0.700000 1.000000       1 0.769231       1 0.767281     0.275434
    884   h1 0.479532 0.736842       1 0.647619 0.663636       1 0.925926       1 0.702765     0.098816
    885   h1 0.666667 1.000000       1 0.800000 0.700000       1 1.000000       1 0.785714     0.293333
    886   h1 0.666667 1.000000       1 0.800000 0.700000       1 1.000000       1 0.785714     0.293333
    887   h1 0.666667 1.000000       1 0.800000 0.700000       1 1.000000       1 0.785714     0.293333
    888   h1 0.947368 0.947368       1 0.952381 0.668182       1 0.769231       1 0.785714     0.345195
    889   h1 1.000000 1.000000       1 1.000000 0.700000       1 0.769231       1 0.788018     0.424318
    890   h1 1.000000 1.000000       1 1.000000 0.700000       1 0.769231       1 0.788018     0.424318
    891   h1 1.000000 1.000000       1 1.000000 0.700000       1 0.769231       1 0.785714     0.423077
    892   h1 0.695906 0.631579       1 0.761905 0.668182       1 0.769231       1 0.857143     0.147531
    893   h1 0.777778 0.666667       1 0.800000 0.700000       1 0.769231       1 0.857143     0.191453
    894   h1 0.777778 0.666667       1 0.800000 0.700000       1 0.769231       1 0.790323     0.176528
    895   h1 0.777778 0.666667       1 0.900000 0.700000       1 0.555556       1 0.714286     0.129630
    916   h1 0.894737 0.631579       1 0.661905 0.668182       1 0.846154       1 0.785714     0.166160
    917   h1 1.000000 0.666667       1 0.700000 0.700000       1 0.846154       1 0.785714     0.217179
    918   h1 1.000000 0.666667       1 0.700000 0.700000       1 0.846154       1 0.785714     0.217179
    919   h1 1.000000 0.666667       1 0.700000 0.700000       1 0.846154       1 0.785714     0.217179
    920   h1 1.000000 0.666667       1 0.500000 0.700000       1 0.532764       1 0.785714     0.097673
    921   h1 0.298246 0.947368       1 0.904762 0.763636       1 0.307692       1 0.619816     0.037230
    922   h1 0.631579 1.000000       1 1.000000 0.800000       1 0.769231       1 0.785714     0.305379
    923   h1 0.666667 1.000000       1 1.000000 0.800000       1 0.769231       1 0.785714     0.322344
