 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    426   h0 0.888889 0.666667   1.000 0.900000       1 1.000000 0.769231       1 0.785714     0.322344
    427   h0 0.888889 0.666667   1.000 0.900000       1 1.000000 0.569801       1 0.721198     0.219168
    448   h0 0.947368 0.631579   0.855 0.666667       1 0.763636 0.814815       1 0.785714     0.166737
    449   h0 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154       1 0.785714     0.223385
    450   h0 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154       1 0.785714     0.223385
    451   h0 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154       1 0.785714     0.223385
    452   h0 1.000000 0.666667   0.810 0.500000       1 0.800000 0.532764       1 0.785714     0.090418
    453   h0 0.210526 0.947368   0.475 0.952381       1 0.954545 0.279202       1 0.564516     0.013574
    454   h0 0.619883 1.000000   0.690 1.000000       1 1.000000 0.769231       1 0.785714     0.258512
    455   h0 0.666667 1.000000   0.700 1.000000       1 1.000000 0.769231       1 0.785714     0.282051
    456   h0 0.666667 1.000000   0.700 1.000000       1 1.000000 0.769231       1 0.785714     0.282051
    457   h0 0.666667 1.000000   0.650 0.714286       1 1.000000 0.740741       1 0.758065     0.173807
    458   h0 0.947368 0.736842   0.950 0.952381       1 0.954545 0.923077       1 0.714286     0.397497
    459   h0 1.000000 0.777778   1.000 1.000000       1 1.000000 0.923077       1 0.714286     0.512821
    460   h0 1.000000 0.777778   1.000 1.000000       1 1.000000 0.923077       1 0.714286     0.512821
    461   h0 1.000000 0.777778   1.000 1.000000       1 1.000000 0.923077       1 0.714286     0.512821
    462   h0 1.000000 0.777778   0.900 0.714286       1 1.000000 0.581197       1 0.778802     0.226318
    463   h0 0.631579 0.631579   0.760 0.666667       1 0.668182 0.740741       1 0.785714     0.078596
    464   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231       1 0.785714     0.105299
    465   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231       1 0.785714     0.105299
    466   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231       1 0.785714     0.105299
    467   h0 0.666667 0.666667   0.720 0.500000       1 0.700000 0.484330       1 0.656682     0.035622
    812   h1 0.596491 0.947368   0.695 0.723810       1 0.800000 0.769231       1 0.785714     0.137450
    813   h1 0.666667 1.000000   0.700 0.800000       1 0.750000 0.769231       1 0.785714     0.169231
    814   h1 0.666667 1.000000   0.700 0.800000       1 0.686364 0.769231       1 0.785714     0.154872
    815   h1 0.795322 0.736842   0.950 0.642857       1 0.900000 0.769231       1 0.785714     0.194679
    816   h1 0.888889 0.777778   1.000 0.700000       1 0.900000 0.769231       1 0.785714     0.263248
    817   h1 0.888889 0.777778   1.000 0.700000       1 0.900000 0.769231       1 0.785714     0.263248
    818   h1 0.596491 0.947368   0.700 0.666667       1 0.800000 0.769231       1 0.857143     0.139101
    819   h1 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231       1 0.857143     0.172308
    820   h1 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231       1 0.857143     0.172308
    821   h1 0.894737 0.631579   0.800 0.952381       1 0.700000 0.769231       1 0.857143     0.198715
    822   h1 1.000000 0.666667   0.800 1.000000       1 0.650000 0.769231       1 0.788018     0.210138
    823   h1 1.000000 0.666667   0.800 1.000000       1 0.595455 0.769231       1 0.785714     0.191941
    860   h1 0.795322 0.631579   0.665 0.952381       1 1.000000 0.846154       1 0.785714     0.211503
    861   h1 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154       1 0.785714     0.275783
    862   h1 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154       1 0.785714     0.275783
    863   h1 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154       1 0.785714     0.275783
    864   h1 0.596491 0.947368   0.855 0.666667       1 0.700000 1.000000       1 0.785714     0.177158
    865   h1 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000       1 0.785714     0.231000
    866   h1 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000       1 0.785714     0.231000
    867   h1 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000       1 0.785714     0.231000
